,code,name,industry,area,net_profits,profits_yoy,pe,totals,esp,timeToMarket,Frist_price,Frist_high_day,Frist_high_price,low_bet_fh_h_day,low_price_bet_fh_h_price,high_day,high/low_price,high/FH,ma20/FH
75,300621,维业股份,装修装饰,深圳,5766.63,46.28,38.73,1.39,0.46,20170316,10.32,12,2.42151162791,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.427584253752
76,603179,新泉股份,汽车配件,江苏,16979.47,137.26,25.3,1.62,1.14,20170317,16.81,11,1.73765615705,17 days 00:00:00.000000000,-0.180790960452,192 days 00:00:00.000000000,0.371618037135,0.123641894828,-0.206518904824
77,603517,绝味食品,食品,湖南,37757.81,38.42,31.83,4.1,0.96,20170317,19.31,10,1.82858622475,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.261699011351
78,300628,亿联网络,通信设备,福建,47755.97,59.25,28.05,1.49,3.49,20170317,106.4,13,2.27086466165,11 days 00:00:00.000000000,-0.152347566232,11 days 00:00:00.000000000,0.184542372881,0.00408022527441,-0.621205677835
79,300625,三雄极光,半导体,广东,17219.28,17.46,29.79,2.8,0.67,20170317,23.16,9,1.5725388601,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.581000335683
80,603133,碳元科技,元器件,江苏,4305.64,-20.21,111.05,2.08,0.23,20170320,11.33,14,2.23654015887,53 days 00:00:00.000000000,-0.331606217617,97 days 00:00:00.000000000,0.734394124847,0.15925824925,-0.114889555495
81,002856,美芝股份,装修装饰,深圳,3586.46,-3.8,113.68,1.01,0.39,20170320,13.93,10,1.82986360373,54 days 00:00:00.000000000,-0.259259259259,226 days 00:00:00.000000000,0.614726027397,0.196093353628,0.167656012177
82,300626,华瑞股份,电气设备,浙江,4212.62,79.16,50.19,1.0,0.421,20170320,9.0,14,2.96666666667,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.209495798319
83,300627,华测导航,通信设备,上海,6407.14,33.13,66.54,1.23,0.59,20170321,15.32,14,3.03394255875,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.269935275081
84,002855,捷荣技术,塑料,广东,3446.28,-27.34,68.0,2.4,0.16,20170321,7.85,13,2.5923566879,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.544716312057
85,603656,泰禾光电,专用机械,安徽,6165.48,4.24,38.73,1.06,0.63,20170321,26.29,9,1.57284138456,5 days 00:00:00.000000000,-0.031638083974,2 days 00:00:00.000000000,0.0804580152672,0.0462743938498,-0.543140153755
86,300631,久吾高科,环境保护,江苏,2567.13,-13.99,77.68,1.03,0.27,20170323,14.36,14,2.90668523677,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.585418894831
87,300629,新劲刚,矿物制品,广东,1321.26,-1.43,199.55,0.67,0.22,20170324,9.94,17,4.51106639839,44 days 00:00:00.000000000,-0.287878787879,119 days 00:00:00.000000000,0.55678031274,0.108616283315,-0.131161007667
88,002774,快意电梯,运输设备,广东,4647.69,-24.61,56.46,3.35,0.15,20170324,7.32,11,1.93852459016,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.537145513715
89,603768,常青股份,汽车配件,安徽,8878.47,-23.77,31.64,2.04,0.47,20170324,19.58,7,0.981613891726,1 days 00:00:00.000000000,-0.010824742268,1 days 00:00:00.000000000,0.0536737884315,0.0422680412371,-0.531597938144
90,603717,天域生态,环境保护,重庆,4961.48,62.0,70.96,1.73,0.31,20170327,17.56,10,1.40660592255,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.341410317085
91,603178,圣龙股份,汽车配件,浙江,6306.77,34.45,36.47,2.03,0.34,20170328,10.84,10,1.30719557196,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.416353458617
92,300630,普利制药,化学制药,海南,6052.24,45.94,109.26,1.22,0.54,20170328,13.79,11,2.11312545323,50 days 00:00:00.000000000,-0.249708828325,196 days 00:00:00.000000000,1.29742316051,0.723736314931,0.694432797577
93,601228,广州港,港口,广东,56274.73,8.81,51.75,61.93,0.091,20170329,2.75,14,2.60363636364,6 days 00:00:00.000000000,-0.149344096872,9 days 00:00:00.000000000,0.251482799526,0.0645812310797,-0.384561049445
94,603041,美思德,化工原料,江苏,4215.83,-25.5,39.35,1.0,0.46,20170330,18.6,9,1.14462365591,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.444221609426
95,603303,得邦照明,家用电器,浙江,16988.67,-16.73,26.53,4.08,0.416,20170330,26.83,7,0.64107342527,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.683533954122
96,300635,达安股份,建筑施工,广东,4052.51,-8.52,54.69,1.36,0.33,20170331,16.36,9,1.33679706601,119 days 00:00:00.000000000,-0.343970703636,41 days 00:00:00.000000000,0.909888357257,0.252942715145,-0.492048129741
97,603385,惠达卫浴,家居用品,河北,17775.68,27.74,25.87,2.84,0.626,20170405,19.11,8,0.948717948718,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.407357679914
98,300632,光莆股份,半导体,福建,4431.04,,40.67,1.16,0.42,20170406,8.87,12,2.42277339346,5 days 00:00:00.000000000,-0.130434782609,19 days 00:00:00.000000000,0.189393939394,0.034255599473,-0.280599472991
99,300633,开立医疗,医疗保健,深圳,11484.26,116.6,62.67,4.0,0.3,20170406,6.28,14,2.54617834395,65 days 00:00:00.000000000,-0.190839694656,106 days 00:00:00.000000000,0.650943396226,0.335877862595,0.210552312528
100,603586,金麒麟,汽车配件,山东,14429.6,-6.87,26.6,2.09,0.75,20170406,30.77,6,0.610984725382,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.51430300585
101,002859,洁美科技,元器件,浙江,13135.23,45.33,46.56,2.56,0.53,20170407,35.78,6,0.932923420906,49 days 00:00:00.000000000,-0.123626373626,101 days 00:00:00.000000000,0.913875598086,0.677270098323,-0.502226720648
102,603538,美诺华,化学制药,浙江,3559.62,-42.21,65.51,1.2,0.32,20170407,20.2,7,0.771287128713,1 days 00:00:00.000000000,-0.0681945220794,2 days 00:00:00.000000000,0.0986802639472,0.0237562884293,-0.242761319173
103,603906,龙蟠科技,化工原料,江苏,7115.65,11.13,34.64,2.08,0.37,20170410,13.71,9,1.14442013129,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.483299319728
104,300637,扬帆新材,化工原料,浙江,4795.64,4.06,37.92,1.23,0.45,20170412,12.02,8,1.33943427621,6 days 00:00:00.000000000,-0.0359174964438,1 days 00:00:00.000000000,0.118406492069,0.0782361308677,-0.268029871977
105,601366,利群股份,百货,山东,27415.94,8.22,25.28,8.61,0.35,20170412,10.58,6,0.844990548204,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.464856557377
